model_family,method,method_label,metric,mean,ci_low,ci_high,random_mean,mean_diff_vs_random,n_pairs,p_value,q_value,significance
Frozen ESM-2,random_mean,Random,AUROC,0.5006645216064911,0.4993424538382038,0.502077240445782,0.5006645216064911,0.0,,,,
Frozen ESM-2,random_mean,Random,AUPRC,0.26729598868124504,0.21756136873364956,0.3195605149914143,0.26729598868124504,0.0,,,,
Frozen ESM-2,random_mean,Random,Precision@k,0.2500789996682376,0.20004898282195457,0.30266749568257606,0.2500789996682376,0.0,,,,
Frozen ESM-2,attention_weights,Attention,AUROC,0.467817753802493,0.4410439335599496,0.4948289605429645,0.5006645216064911,-0.03284676780399817,61.0,0.01829751899664921,0.08208094050573941,ns
Frozen ESM-2,attention_weights,Attention,AUPRC,0.2528294620010797,0.20176633687741075,0.3055703015088584,0.26729598868124504,-0.014466526680165306,61.0,0.012307690422580602,0.05267386065543663,ns
Frozen ESM-2,attention_weights,Attention,Precision@k,0.21632781346923993,0.16186356665032198,0.27170725325885847,0.2500789996682376,-0.03375118619899769,61.0,0.0007453963725280714,0.0029549191472206166,**
Frozen ESM-2,integrated_gradients,IG,AUROC,0.47562932933865537,0.44267143928397784,0.5106031808727698,0.5006645216064911,-0.025035192267835907,61.0,0.10074257568133357,0.1447783097573194,ns
Frozen ESM-2,integrated_gradients,IG,AUPRC,0.2574127659436642,0.20639680623907458,0.3154983562284759,0.26729598868124504,-0.009883222737580808,61.0,0.02873119672114725,0.05267386065543663,ns
Frozen ESM-2,integrated_gradients,IG,Precision@k,0.21565477186661275,0.1621819529125131,0.2745272185630546,0.2500789996682376,-0.03442422780162486,61.0,0.0008058870401510774,0.0029549191472206166,**
Frozen ESM-2,gradient_x_input,Grad×Input,AUROC,0.48157650674388425,0.45920494941667817,0.5043809468648092,0.5006645216064911,-0.019088014862606993,61.0,0.08802498257850971,0.1447783097573194,ns
Frozen ESM-2,gradient_x_input,Grad×Input,AUPRC,0.26552927159100737,0.21360335915699008,0.32138198814770264,0.26729598868124504,-0.0017667170902376753,61.0,0.11992917683685149,0.13886536265319646,ns
Frozen ESM-2,gradient_x_input,Grad×Input,Precision@k,0.23838584592230008,0.18400604070973448,0.2957211256515784,0.2500789996682376,-0.011693153745937537,61.0,0.045456762124429916,0.06250304792109114,ns
Frozen ESM-2,smoothgrad_ig,SmoothGrad-IG,AUROC,0.4756878945663651,0.4421397670454655,0.5108736932242001,0.5006645216064911,-0.02497662704012598,61.0,0.11488315850044821,0.1486723227652859,ns
Frozen ESM-2,smoothgrad_ig,SmoothGrad-IG,AUPRC,0.2569418032731571,0.20600741646862028,0.3149423926446919,0.26729598868124504,-0.010354185408087977,61.0,0.025257947892843503,0.05267386065543663,ns
Frozen ESM-2,smoothgrad_ig,SmoothGrad-IG,Precision@k,0.21403817817202356,0.16040666967584585,0.27317023640345844,0.2500789996682376,-0.036040821496214036,61.0,0.0004039081568857188,0.002221494862871453,**
