model_family,method,method_key,method_category,label_variant,n_proteins,AUROC mean,AUROC 95% CI,AUPRC mean,AUPRC 95% CI,Precision@k mean,Precision@k 95% CI,residue epitope prevalence
Frozen ESM-2,Random,random_mean,Null baseline,original,61,0.5006645216064911,"0.501 [0.499, 0.502]",0.26729598868124504,"0.267 [0.218, 0.320]",0.2500789996682376,"0.250 [0.200, 0.303]",0.2194011556645071
Frozen ESM-2,Random,random_mean,Null baseline,scrambled,61,0.4987815572019913,"0.499 [0.497, 0.500]",0.2672020450874374,"0.267 [0.217, 0.319]",0.24921990812466036,"0.249 [0.199, 0.302]",
Frozen ESM-2,Attention,attention_weights,Model-internal signal,original,61,0.467817753802493,"0.468 [0.441, 0.495]",0.2528294620010797,"0.253 [0.202, 0.306]",0.21632781346923993,"0.216 [0.162, 0.272]",0.2194011556645071
Frozen ESM-2,Attention,attention_weights,Model-internal signal,scrambled,61,0.5071985608644171,"0.507 [0.493, 0.522]",0.2678322176416088,"0.268 [0.218, 0.320]",0.25237654870162246,"0.252 [0.200, 0.306]",
Frozen ESM-2,IG,integrated_gradients,Post-hoc attribution,original,61,0.47562932933865537,"0.476 [0.443, 0.511]",0.2574127659436642,"0.257 [0.206, 0.315]",0.21565477186661275,"0.216 [0.162, 0.275]",0.2194011556645071
Frozen ESM-2,IG,integrated_gradients,Post-hoc attribution,scrambled,61,0.49907830613619325,"0.499 [0.485, 0.512]",0.266078773899775,"0.266 [0.215, 0.320]",0.24921303737114686,"0.249 [0.196, 0.303]",
Frozen ESM-2,Grad×Input,gradient_x_input,Post-hoc attribution,original,61,0.48157650674388425,"0.482 [0.459, 0.504]",0.26552927159100737,"0.266 [0.214, 0.321]",0.23838584592230008,"0.238 [0.184, 0.296]",0.2194011556645071
Frozen ESM-2,Grad×Input,gradient_x_input,Post-hoc attribution,scrambled,61,0.5015629655306555,"0.502 [0.487, 0.517]",0.26472844415376756,"0.265 [0.215, 0.317]",0.25010984626094823,"0.250 [0.200, 0.302]",
Frozen ESM-2,SmoothGrad-IG,smoothgrad_ig,Post-hoc attribution,original,61,0.4756878945663651,"0.476 [0.442, 0.511]",0.2569418032731571,"0.257 [0.206, 0.315]",0.21403817817202356,"0.214 [0.160, 0.273]",0.2194011556645071
Frozen ESM-2,SmoothGrad-IG,smoothgrad_ig,Post-hoc attribution,scrambled,61,0.49691244269947416,"0.497 [0.479, 0.515]",0.26871685379600496,"0.269 [0.220, 0.320]",0.24959769005291774,"0.250 [0.200, 0.301]",
Frozen ESM-2,Occlusion,occlusion,Perturbation sensitivity,original,61,0.495992674677563,"0.496 [0.480, 0.511]",0.26365008971329357,"0.264 [0.214, 0.315]",0.23517105740601899,"0.235 [0.182, 0.292]",0.2194011556645071
Frozen ESM-2,Occlusion,occlusion,Perturbation sensitivity,scrambled,61,0.4967854619061834,"0.497 [0.485, 0.508]",0.267716015833654,"0.268 [0.217, 0.321]",0.25547305341871057,"0.255 [0.207, 0.307]",
MTL ESM-2,Random,random_mean,Null baseline,original,61,0.5006645216064911,"0.501 [0.499, 0.502]",0.26729598868124504,"0.267 [0.218, 0.320]",0.2500789996682376,"0.250 [0.200, 0.303]",0.2194011556645071
MTL ESM-2,Random,random_mean,Null baseline,scrambled,61,0.4987815572019913,"0.499 [0.497, 0.500]",0.2672020450874374,"0.267 [0.217, 0.319]",0.24921990812466036,"0.249 [0.199, 0.302]",
MTL ESM-2,Attention,attention_weights,Model-internal signal,original,61,0.4673394952449821,"0.467 [0.441, 0.494]",0.25213602339401847,"0.252 [0.201, 0.305]",0.2157259919970739,"0.216 [0.163, 0.270]",0.2194011556645071
MTL ESM-2,Attention,attention_weights,Model-internal signal,scrambled,61,0.4963097551204517,"0.496 [0.481, 0.511]",0.2628893224084036,"0.263 [0.215, 0.313]",0.24960628237392082,"0.250 [0.200, 0.302]",
MTL ESM-2,IG,integrated_gradients,Post-hoc attribution,original,61,0.4745922956604976,"0.475 [0.437, 0.514]",0.26107564749313483,"0.261 [0.207, 0.318]",0.22557033573994872,"0.226 [0.170, 0.286]",0.2194011556645071
MTL ESM-2,IG,integrated_gradients,Post-hoc attribution,scrambled,61,0.5052689565187792,"0.505 [0.492, 0.519]",0.26594061936356445,"0.266 [0.216, 0.318]",0.2529833865214567,"0.253 [0.203, 0.305]",
MTL ESM-2,Grad×Input,gradient_x_input,Post-hoc attribution,original,61,0.4786466022109823,"0.479 [0.458, 0.501]",0.26232428199580116,"0.262 [0.211, 0.316]",0.23523683665839376,"0.235 [0.183, 0.289]",0.2194011556645071
MTL ESM-2,Grad×Input,gradient_x_input,Post-hoc attribution,scrambled,61,0.5007368526740831,"0.501 [0.488, 0.514]",0.26615885531553163,"0.266 [0.215, 0.318]",0.2572290442090054,"0.257 [0.204, 0.312]",
