model_family,method,label_variant,method_category,auroc_mean,auroc_ci_low,auroc_ci_high,auprc_mean,auprc_ci_low,auprc_ci_high,precision_at_k_mean,precision_at_k_ci_low,precision_at_k_ci_high,n_proteins
MTL ESM-2 top-1,random_mean,original,Null baseline,0.5007,0.4993,0.5021,0.2673,0.2176,0.3196,0.2501,0.2,0.3027,61
MTL ESM-2 top-1,random_mean,scrambled,Null baseline,0.4988,0.4972,0.5003,0.2672,0.2175,0.3191,0.2492,0.199,0.3017,61
MTL ESM-2 top-1,attention_weights,original,Model-internal signal,0.4815,0.4591,0.5053,0.2593,0.2068,0.3129,0.2296,0.177,0.2848,61
MTL ESM-2 top-1,attention_weights,scrambled,Model-internal signal,0.4932,0.4776,0.5081,0.2624,0.2136,0.313,0.2471,0.1971,0.299,61
MTL ESM-2 top-1,integrated_gradients,original,Post-hoc attribution,0.4782,0.4386,0.5192,0.2601,0.2085,0.3161,0.2265,0.1698,0.287,61
MTL ESM-2 top-1,integrated_gradients,scrambled,Post-hoc attribution,0.5008,0.4874,0.514,0.267,0.2179,0.3177,0.2538,0.2021,0.3081,61
MTL ESM-2 top-1,gradient_x_input,original,Post-hoc attribution,0.4868,0.4672,0.5083,0.2616,0.211,0.3148,0.2387,0.1847,0.2962,61
MTL ESM-2 top-1,gradient_x_input,scrambled,Post-hoc attribution,0.4934,0.4765,0.5095,0.2671,0.2158,0.3195,0.2598,0.2068,0.3116,61
MTL ESM-2 top-1,smoothgrad_ig,original,Post-hoc attribution,0.4783,0.4387,0.5193,0.2604,0.2088,0.3162,0.2281,0.1709,0.2892,61
MTL ESM-2 top-1,smoothgrad_ig,scrambled,Post-hoc attribution,0.5044,0.4893,0.5189,0.2686,0.2186,0.3206,0.2455,0.1958,0.2975,61
MTL ESM-2 top-1,occlusion,original,Perturbation sensitivity,0.4883,0.4743,0.5018,0.2609,0.2117,0.3129,0.2368,0.1853,0.2925,61
MTL ESM-2 top-1,occlusion,scrambled,Perturbation sensitivity,0.4984,0.4816,0.5147,0.267,0.2166,0.32,0.2586,0.2058,0.3121,61
MTL ESM-2 top-1,residue_head,original,Supervised residue predictor,0.6415,0.6,0.6815,0.3816,0.3157,0.4508,0.344,0.2763,0.4129,61
MTL ESM-2 top-1,residue_head,scrambled,Supervised residue predictor,0.5014,0.4863,0.5171,0.2714,0.2218,0.3253,0.2578,0.2077,0.311,61
