accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k,ig_scores_json,model_family
A0A834K244,251,0.549800796812749,138,attention_weights,0.6302424009234321,0.6218137383278266,0.6231884057971014,,
A0A834K244,251,0.549800796812749,138,integrated_gradients,0.474349108631525,0.5350559325830384,0.4927536231884058,"[4.455720901489258,2.856628894805908,1.4541363716125488,2.0563411712646484,1.4493348598480225,1.065955638885498,1.1042287349700928,1.222225546836853,0.9621181488037109,0.7327902317047119,0.7151751518249512,0.8302266001701355,0.9960384964942932,1.299032211303711,0.887358546257019,0.8718876242637634,1.0644067525863647,1.0299241542816162,1.1749746799468994,0.9823384284973145,0.9386923313140869,0.894073486328125,0.8116246461868286,1.249443531036377,1.3285462856292725,1.119410753250122,1.5964007377624512,1.0760021209716797,0.8981483578681946,1.0223766565322876,0.993400514125824,1.0746150016784668,1.1638169288635254,1.0701608657836914,1.1975022554397583,1.5369502305984497,1.0395145416259766,0.9461019039154053,0.8730626106262207,1.416153073310852,0.7344794273376465,1.0026881694793701,1.1335406303405762,0.826129138469696,0.8813166618347168,0.7678132057189941,0.8199528455734253,0.9027807116508484,1.4514882564544678,1.7031508684158325,0.9589570164680481,0.8318836688995361,1.3027069568634033,1.458581805229187,1.2417787313461304,0.9480501413345337,1.1630443334579468,2.14119029045105,0.8719949722290039,1.0236127376556396,0.48791441321372986,0.5752637386322021,0.49563491344451904,0.6333677768707275,0.7125803232192993,1.0669128894805908,0.7609305381774902,0.6781120896339417,0.6175944805145264,0.7144692540168762,1.3516727685928345,0.9359204769134521,0.9248345494270325,1.1793330907821655,1.1746340990066528,0.8338609933853149,0.7787739038467407,1.1712617874145508,0.6476936340332031,0.9198757410049438,0.990023136138916,0.6644318103790283,0.9281498193740845,1.0933424234390259,0.9382022619247437,0.8337604999542236,0.9792373180389404,1.3693920373916626,0.8953213095664978,1.2448921203613281,1.1622487306594849,1.6114633083343506,1.6541829109191895,0.9867428541183472,0.9987964630126953,0.9926869869232178,1.3369786739349365,0.9007055163383484,0.7930977940559387,1.0227715969085693,0.8263247013092041,1.2184239625930786,0.8208860158920288,0.7054950594902039,0.6583936810493469,0.5833344459533691,0.5992440581321716,0.6254265308380127,0.6481510400772095,0.7034628987312317,0.7765966653823853,0.8425835967063904,0.9213993549346924,0.943552553653717,0.9585329294204712,1.0020593404769897,1.0353577136993408,1.0812195539474487,1.1211957931518555,1.0680698156356812,1.0248327255249023,1.0276052951812744,1.1140468120574951,1.1029787063598633,1.086236834526062,1.0316746234893799,0.962085485458374,0.9029734134674072,0.9900816679000854,1.0567002296447754,1.1977540254592896,1.254615068435669,1.2202666997909546,0.800775945186615,0.7691769599914551,0.9317589998245239,2.2401955127716064,0.7081311345100403,0.7750641107559204,0.8805211782455444,1.0954467058181763,1.3887827396392822,1.5214824676513672,0.7367683053016663,0.7652139067649841,0.9335746765136719,0.7360031604766846,1.4072504043579102,1.2123994827270508,1.0293664932250977,0.955227255821228,0.789121687412262,1.4249136447906494,1.518943190574646,0.782176673412323,1.0801198482513428,1.3203959465026855,0.9148929119110107,0.757648229598999,0.8094916343688965,0.657296895980835,0.6468307375907898,0.821750819683075,0.655822217464447,0.6449927091598511,0.687320351600647,0.6849824786186218,0.685672402381897,0.4770283102989197,1.408781886100769,0.6304419040679932,1.0464160442352295,0.9440373778343201,0.6595265865325928,0.49672815203666687,0.5840163230895996,0.7356369495391846,0.5498197078704834,0.6640588045120239,1.5857696533203125,0.5051215887069702,0.6675683259963989,0.6778112649917603,0.6866217851638794,0.7234422564506531,0.8015198707580566,1.3772897720336914,0.5757565498352051,1.189661979675293,0.581055760383606,0.5674941539764404,0.4970688223838806,0.8806452751159668,0.4312717914581299,0.9741113185882568,0.5174121856689453,0.6471506357192993,0.9610033631324768,0.4695991277694702,0.6352126598358154,0.6303483247756958,1.116370677947998,0.5484203696250916,0.6431772708892822,0.6773511171340942,0.8147842884063721,0.8162731528282166,0.5744908452033997,1.695265531539917,0.49631088972091675,0.6077513694763184,0.5611891746520996,0.5660613775253296,0.4574953317642212,0.5565028786659241,1.0945948362350464,0.4467138350009918,0.9068939089775085,0.35639864206314087,0.6889693140983582,0.46388256549835205,0.9995286464691162,0.6228277087211609,0.4774763584136963,0.5157319903373718,0.46745121479034424,1.6662781238555908,0.6602240204811096,0.48003268241882324,0.7572066187858582,0.6840775609016418,0.4041621685028076,0.46886348724365234,0.5619217157363892,0.5541641712188721,0.6545853614807129,0.7889907360076904,1.1592451333999634,0.3559599220752716,0.8616605997085571,0.617782711982727,0.9403676390647888,0.41093337535858154,0.4705670475959778,0.5431835651397705,0.567209005355835,0.6558932662010193,1.1674383878707886,0.5300824046134949,0.8613554835319519,0.5284703969955444]",
A0A834K244,251,0.549800796812749,138,random_mean,0.49663652686930876,0.5559651753796656,0.5479710144927538,,
A0A834K244,251,0.549800796812749,138,shuffled_mean,0.5062851096575607,0.5637360058277071,0.5546376811594204,,
P49372,154,0.6428571428571429,99,attention_weights,0.25032139577594126,0.4994436985672064,0.5252525252525253,,
P49372,154,0.6428571428571429,99,integrated_gradients,0.36584022038567493,0.5504792758720602,0.5656565656565656,"[14.863068580627441,4.494466781616211,3.131962776184082,4.997570037841797,4.211041450500488,5.232335090637207,2.6234536170959473,1.7338106632232666,2.2437453269958496,1.6842821836471558,3.8261935710906982,4.470184326171875,4.939029216766357,3.6959338188171387,3.7796149253845215,1.8160722255706787,2.618492841720581,2.312234878540039,2.417757034301758,2.7640902996063232,2.891392230987549,2.501948833465576,2.5551085472106934,2.530689239501953,1.7716503143310547,5.015446662902832,1.9969371557235718,5.482358455657959,4.3684282302856445,2.360954761505127,3.1134610176086426,3.5562937259674072,2.1555585861206055,2.3205690383911133,2.5686259269714355,4.473669052124023,4.805405616760254,2.199873924255371,4.891589164733887,2.602841377258301,2.8902907371520996,2.676715850830078,3.959547519683838,2.5675158500671387,3.512272357940674,6.106685638427734,4.714197158813477,4.538785457611084,2.5622451305389404,4.170169353485107,3.7806320190429688,6.572402000427246,2.7418012619018555,1.8292772769927979,2.9497296810150146,3.014132499694824,5.801910877227783,2.7386865615844727,4.57082462310791,4.381657123565674,3.545731544494629,3.182046890258789,4.0826520919799805,2.531703233718872,4.893834114074707,5.114153861999512,2.6822452545166016,5.119450569152832,2.3234777450561523,4.496516704559326,3.1535086631774902,3.1313886642456055,2.2691168785095215,2.896789073944092,2.8587026596069336,3.8882875442504883,2.8557796478271484,2.1938648223876953,3.407794952392578,5.13465690612793,3.161592721939087,3.101274251937866,3.168459892272949,2.52604341506958,2.3288488388061523,1.9697743654251099,2.9264824390411377,3.518439531326294,3.1328577995300293,2.312607765197754,2.7891252040863037,2.962679862976074,2.9278640747070312,3.1006622314453125,2.385371685028076,3.1744725704193115,2.8971118927001953,2.036679744720459,3.4750776290893555,3.445387601852417,3.17476487159729,2.5967726707458496,2.448945999145508,2.605320453643799,2.4886744022369385,4.896645545959473,4.778790473937988,2.4222004413604736,5.143810272216797,3.8168044090270996,3.3221285343170166,4.246665000915527,2.8633551597595215,5.21697998046875,2.9660840034484863,4.40911865234375,4.227025032043457,3.4246597290039062,4.268847465515137,2.869246482849121,3.755237340927124,3.1115970611572266,3.6518325805664062,2.9937527179718018,1.8670917749404907,1.935668706893921,2.0415360927581787,1.9632227420806885,2.55819034576416,2.4908719062805176,2.3278968334198,2.5691580772399902,2.6806066036224365,4.325985908508301,4.1216654777526855,2.2379229068756104,2.520883083343506,2.565582752227783,4.074690818786621,2.4067959785461426,2.7985074520111084,2.0694475173950195,2.370671272277832,3.113452196121216,2.132861614227295,2.255685806274414,2.9195218086242676,3.1406266689300537,2.620181083679199,3.813290596008301,3.0555009841918945,2.0461554527282715,2.6871399879455566,5.640958786010742]",
P49372,154,0.6428571428571429,99,random_mean,0.5023011937557392,0.6526928277573718,0.6437373737373737,,
P49372,154,0.6428571428571429,99,shuffled_mean,0.5013645546372819,0.6525149432201961,0.643939393939394,,
P01012,386,0.4481865284974093,173,attention_weights,0.33653559119650467,0.3602610891119765,0.2947976878612717,,
P01012,386,0.4481865284974093,173,integrated_gradients,0.6418355993378383,0.6530493446676573,0.5664739884393064,"[7.427173137664795,3.928917169570923,3.4144368171691895,6.827991485595703,2.7192001342773438,3.013273239135742,2.673515796661377,2.077909469604492,2.341249942779541,3.4849982261657715,2.6925973892211914,3.1801934242248535,2.7587358951568604,3.0827484130859375,1.487269639968872,2.5844321250915527,2.9406075477600098,3.4855597019195557,2.6926093101501465,3.6750388145446777,2.2090487480163574,2.6237618923187256,2.824202537536621,2.2899727821350098,4.509466171264648,4.571892738342285,6.378048419952393,3.608778953552246,3.1668052673339844,3.8168087005615234,4.53195858001709,4.5399322509765625,4.7829437255859375,5.096803665161133,5.047372341156006,7.990026473999023,4.194601535797119,3.8807003498077393,4.67559814453125,2.181936740875244,4.933127403259277,3.3833184242248535,10.324585914611816,5.201038360595703,5.5966291427612305,7.161653995513916,3.3678200244903564,4.4825639724731445,2.954399824142456,3.604397773742676,3.6670942306518555,2.7770044803619385,1.9385749101638794,2.151441812515259,1.642369031906128,1.657150387763977,1.6603344678878784,2.1195499897003174,2.3467767238616943,2.852616310119629,2.7115864753723145,2.022425651550293,1.9841084480285645,4.165361404418945,1.9123179912567139,2.5848634243011475,3.1206908226013184,2.7250423431396484,2.58832049369812,4.12278938293457,2.4595706462860107,2.5853185653686523,2.2660813331604004,3.0433998107910156,2.989694595336914,2.903073310852051,1.7043877840042114,3.1577844619750977,2.1837806701660156,2.4946274757385254,2.330644130706787,3.8564188480377197,3.527982473373413,3.376540184020996,2.009878158569336,4.095829010009766,1.9268499612808228,1.4497944116592407,1.896732211112976,1.4393231868743896,1.2283692359924316,2.8369710445404053,1.9519233703613281,3.464601993560791,1.3880997896194458,1.820167064666748,1.8852170705795288,2.0562691688537598,1.7680838108062744,1.8940227031707764,1.3590786457061768,1.0036051273345947,1.7580409049987793,1.8785699605941772,1.886385440826416,2.359488010406494,2.4352903366088867,1.586717128753662,1.784698724746704,1.5923992395401,1.880021572113037,2.5889463424682617,3.0622596740722656,1.427004098892212,2.2579689025878906,2.76114821434021,1.8706014156341553,2.331902503967285,1.3418734073638916,2.1986539363861084,2.73707914352417,1.3525456190109253,1.8447866439819336,1.4370944499969482,1.2568809986114502,2.2307844161987305,2.223519802093506,1.5633232593536377,1.4526423215866089,1.172374963760376,1.4325580596923828,2.175130605697632,1.2458446025848389,1.192629098892212,1.3889226913452148,1.5592604875564575,2.7222900390625,1.2580275535583496,1.2934880256652832,1.2294447422027588,1.7079486846923828,1.5644298791885376,2.4547219276428223,1.3447885513305664,1.109296202659607,1.1516895294189453,1.1859509944915771,1.1055506467819214,4.047107696533203,2.2389049530029297,1.6364028453826904,1.3375742435455322,1.581006407737732,2.5407354831695557,1.3207083940505981,1.6836419105529785,2.055711269378662,2.0648856163024902,2.4184117317199707,2.2047853469848633,2.210705280303955,1.508288860321045,1.7842763662338257,2.0487451553344727,1.4873652458190918,1.482957124710083,1.7660529613494873,1.8556840419769287,1.0224751234054565,1.8970215320587158,2.1759679317474365,1.3331396579742432,2.155508518218994,1.9860416650772095,2.5041561126708984,1.7032506465911865,1.4218379259109497,1.2848179340362549,1.4456427097320557,1.68031644821167,2.0131258964538574,1.4187475442886353,1.734910011291504,1.3871572017669678,2.3407654762268066,1.5301862955093384,1.1090755462646484,1.085192322731018,1.4903391599655151,1.1016356945037842,1.195775032043457,1.4455351829528809,1.2653945684432983,2.00701904296875,1.5904346704483032,1.0523335933685303,1.4562318325042725,2.7809441089630127,2.1617770195007324,2.2837958335876465,1.5261826515197754,1.966407299041748,1.623722791671753,1.719042181968689,1.5737991333007812,1.0822227001190186,1.0770549774169922,2.2177538871765137,1.5979857444763184,1.7137616872787476,1.2329275608062744,1.352885127067566,2.087550640106201,1.7394366264343262,0.9608817100524902,1.4206193685531616,0.8537328243255615,1.8343675136566162,2.0172245502471924,1.8273673057556152,0.9415303468704224,1.500545859336853,1.2158371210098267,0.8059730529785156,1.3647373914718628,1.4415699243545532,1.5498807430267334,1.5134025812149048,1.6140750646591187,0.8800404071807861,0.9020447731018066,2.3862674236297607,0.9269641637802124,2.236992835998535,2.151491641998291,1.4247033596038818,1.8764828443527222,2.056675434112549,2.8222310543060303,2.1513874530792236,1.5192776918411255,1.8358747959136963,1.0227715969085693,1.189955234527588,0.8038983941078186,0.796087920665741,1.965383768081665,1.3231616020202637,1.880980372428894,1.2538554668426514,1.487076759338379,1.4517780542373657,0.9067312479019165,1.7148839235305786,1.757928729057312,0.9104642868041992,1.9122157096862793,1.2836294174194336,1.1452367305755615,1.0990040302276611,1.6405372619628906,2.297427177429199,1.7926900386810303,1.2721896171569824,1.3565406799316406,2.1398346424102783,1.9853339195251465,3.440410852432251,2.2556068897247314,1.0307782888412476,1.0508606433868408,1.8831530809402466,1.214613676071167,1.9652128219604492,1.7313897609710693,1.6965858936309814,1.8234435319900513,1.272676706314087,1.1625770330429077,1.2290699481964111,1.2080135345458984,2.3908731937408447,1.1779813766479492,1.545177698135376,2.075474739074707,1.47871732711792,1.3175482749938965,1.6563835144042969,1.7596921920776367,1.7636618614196777,1.6879165172576904,2.54683518409729,1.3417158126831055,1.2121485471725464,1.8158684968948364,1.4051207304000854,1.5775421857833862,2.266918897628784,2.3834228515625,1.6847130060195923,2.4584577083587646,1.5124115943908691,1.6104083061218262,1.9006364345550537,2.644981861114502,1.3722100257873535,2.195181131362915,1.7029834985733032,1.6298532485961914,1.5963668823242188,0.8633666038513184,1.3895409107208252,1.0976676940917969,1.2581843137741089,1.321699619293213,1.0705032348632812,1.2021675109863281,1.1637309789657593,0.7850316166877747,1.5074489116668701,1.0063458681106567,0.9644188284873962,1.2208245992660522,1.1303690671920776,0.9552846550941467,1.7424683570861816,0.8038768768310547,1.7298917770385742,1.7200219631195068,0.7293410301208496,0.7981118559837341,1.8051682710647583,0.7738892436027527,1.2725191116333008,1.6456449031829834,1.2087314128875732,1.3499822616577148,0.8092442750930786,1.3854176998138428,2.0008718967437744,1.3115099668502808,1.4855120182037354,1.5949394702911377,0.9623894691467285,1.1326720714569092,0.8811115026473999,1.500511646270752,0.964728593826294,1.1944631338119507,1.8305137157440186,1.5531708002090454,1.1762890815734863,1.0551434755325317,1.1699411869049072,1.897014856338501,1.0367635488510132,1.167323112487793,1.1542856693267822,2.39170503616333,1.9192006587982178,0.7297354936599731,1.3297555446624756,1.6627261638641357,1.3034014701843262,1.9080992937088013,1.190253734588623,2.1713056564331055,1.9710367918014526,1.3605520725250244,2.0257081985473633,1.8919981718063354,1.0620872974395752,1.1791882514953613,2.371098041534424,2.0315985679626465,0.8887584209442139,1.2665085792541504,1.080906629562378,1.92673659324646,1.8937337398529053,1.2655186653137207,1.2716548442840576,1.3831534385681152,1.6672050952911377,1.0582821369171143,2.864572048187256]",
