accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k
Q84ZX5,132,0.75,99,attention_weights,0.7520661157024794,0.8936831063770574,0.8484848737716675
A0ABI7XLA3,134,0.6865671641791045,92,attention_weights,0.5615942028985508,0.7331666079988426,0.6847826242446899
A0ABQ9K8B4,208,0.5480769230769231,114,attention_weights,0.5541246733855917,0.5444174648136106,0.6228070259094238
Q28133,172,0.48255813953488375,83,attention_weights,0.46554758359279813,0.4586062578580093,0.4337349534034729
P27762,397,0.04030226700251889,16,attention_weights,0.3451443569553806,0.030172087255735523,0.0
P10496.1,465,0.03225806451612903,15,attention_weights,0.3509629629629629,0.024463871040771176,0.0
O65457,394,0.04060913705583756,16,attention_weights,0.4904100529100529,0.04302324032918739,0.0
A0A804JLZ5,407,0.03931203931203931,16,attention_weights,0.4267902813299233,0.03669823138967464,0.0
O24554,401,0.0399002493765586,16,attention_weights,0.5965909090909091,0.0649326729067731,0.0625
Q9C5M8,408,0.0392156862745098,16,attention_weights,0.5125956632653061,0.041577488998246294,0.0
Q7M1E7,514,0.7490272373540856,385,attention_weights,0.34178999295278367,0.7084160815496108,0.6909090876579285
P43214,122,0.45081967213114754,55,attention_weights,0.49226594301221166,0.5192783684540879,0.4545454680919647
Q17ST3,339,0.3215339233038348,109,attention_weights,0.3710410849621062,0.2505617674372128,0.20183485746383667
Q9M4S2,367,0.20435967302452315,75,attention_weights,0.3856164383561643,0.1691048110696821,0.13333334028720856
Q6U740,146,0.273972602739726,40,attention_weights,0.3797169811320755,0.222920618208243,0.17499999701976776
Q9SCG9,367,0.14986376021798364,55,attention_weights,0.5400349650349651,0.1706434333087684,0.16363635659217834
P54958,352,0.21306818181818182,75,attention_weights,0.5015643802647413,0.2513351607690457,0.25333333015441895
P10414,73,0.2054794520547945,15,attention_weights,0.3977011494252873,0.23335418821941462,0.13333334028720856
A0ABI7XHC5,214,0.2102803738317757,45,attention_weights,0.4679815910585141,0.19418203270715337,0.20000000298023224
A0PJ16,396,0.6893939393939394,273,attention_weights,0.3244289585753001,0.5948046997509351,0.622710645198822
E1XUL4,397,0.6574307304785895,261,attention_weights,0.3729152580572459,0.5899013140491823,0.5977011322975159
P27760,398,0.2185929648241206,87,attention_weights,0.42369811878626606,0.18882888906650244,0.17241379618644714
K7AKA8,115,0.7130434782608696,82,attention_weights,0.4582409460458241,0.6784337049456705,0.7195122241973877
K7AJH7,73,0.547945205479452,40,attention_weights,0.4613636363636364,0.5558187157090867,0.5
K7B086,246,0.26422764227642276,65,attention_weights,0.5031024224394389,0.25206872749721637,0.2153846174478531
K6Z6I9,434,0.1382488479262673,60,attention_weights,0.4308823529411765,0.11426730139596314,0.0
K6Z6Z9,261,0.2988505747126437,78,attention_weights,0.4431133529494185,0.27781332621863575,0.26923078298568726
K7B0C2,442,0.16063348416289594,71,attention_weights,0.44060589954823276,0.13670658387544854,0.07042253762483597
K6Z6L7,94,0.1595744680851064,15,attention_weights,0.5527426160337554,0.17577672017648466,0.13333334028720856
K6ZXT8,114,0.5526315789473685,63,attention_weights,0.4584500466853408,0.5545468010187182,0.523809552192688
K6ZXQ5,87,0.1724137931034483,15,attention_weights,0.2638888888888889,0.12157666954628095,0.06666667014360428
K7AKJ8,134,0.22388059701492538,30,attention_weights,0.3951923076923077,0.18794365767316157,0.13333334028720856
K6ZXS1,201,0.29850746268656714,60,attention_weights,0.3284869976359338,0.24390447656298903,0.21666666865348816
K7AJI4,83,0.3614457831325301,30,attention_weights,0.5440251572327044,0.4157031394611046,0.3333333432674408
K7B082,133,0.22556390977443608,30,attention_weights,0.32491909385113266,0.16662003721400553,0.10000000149011612
K6ZY00,287,0.17770034843205576,51,attention_weights,0.48762047191758057,0.203014143402236,0.19607843458652496
K7AF06,68,0.22058823529411764,15,attention_weights,0.3320754716981132,0.1689364422564057,0.0
K7AEU6,76,0.19736842105263158,15,attention_weights,0.2262295081967213,0.13350505211365826,0.06666667014360428
K6Z6L1,264,0.056818181818181816,15,attention_weights,0.46961178045515395,0.06449930377877784,0.06666667014360428
K7AEU1,437,0.034324942791762014,15,attention_weights,0.3835703001579779,0.027978729358233517,0.0
K7AET4,180,0.08333333333333333,15,attention_weights,0.378989898989899,0.06621055109900946,0.0
Q9SEW4,593,0.43676222596964587,259,attention_weights,0.5437888701361755,0.48487586249234915,0.4710424840450287
P28744,392,0.12244897959183673,48,attention_weights,0.5944161821705426,0.15349615164362587,0.125
A0A140KPR8,264,0.2840909090909091,75,attention_weights,0.49855379188712523,0.28609780985184496,0.25333333015441895
Q09KA1,317,0.2113564668769716,67,attention_weights,0.4184477611940299,0.19731223943086165,0.1492537260055542
A0A6P6YEX8,502,0.2290836653386454,115,attention_weights,0.5355353331086395,0.2910796460881053,0.27826085686683655
A0A6P6Y1G3,132,0.11363636363636363,15,attention_weights,0.4598290598290598,0.11518050604358977,0.13333334028720856
