accession,seq_len,epitope_density,n_epitope_residues,model_family,method,auroc,auprc,precision_at_k,ig_scores_json
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),residue_head,0.5175708605874054,0.5535531169560008,0.5724637508392334,
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),attention_weights,0.6314608182634346,0.6321020215653047,0.6304348111152649,
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),integrated_gradients,0.3841862254713351,0.45452163448029925,0.4637681245803833,"[13.721456527709961,8.02804183959961,3.3351974487304688,4.76168155670166,3.2250499725341797,1.9815877676010132,2.3500356674194336,2.3500895500183105,2.0637853145599365,1.8772062063217163,2.1203348636627197,2.057661294937134,1.6410493850708008,2.9032750129699707,1.6954007148742676,1.5822044610977173,1.922858476638794,1.7203036546707153,2.1457319259643555,2.3064568042755127,2.3453686237335205,1.7371100187301636,1.8187041282653809,3.9144022464752197,4.085505962371826,1.5709320306777954,1.9373753070831299,1.4847617149353027,1.6821753978729248,1.4490472078323364,1.3801920413970947,1.4408488273620605,1.3195488452911377,1.5381009578704834,1.671008586883545,1.557237148284912,1.2975982427597046,1.5008490085601807,0.9590110182762146,0.9571197032928467,0.8566864132881165,1.2394930124282837,1.150362253189087,0.9628328084945679,0.9723494052886963,0.8892696499824524,1.3752710819244385,0.9496278166770935,1.257840633392334,1.7078526020050049,1.1003602743148804,0.9511066675186157,1.3688013553619385,1.4301626682281494,0.9670873880386353,1.0297954082489014,1.5853159427642822,1.8011622428894043,1.311835527420044,1.4667893648147583,1.0220448970794678,0.9092369079589844,0.8112123012542725,1.5426075458526611,1.1359524726867676,1.5751622915267944,1.026216983795166,0.8560189604759216,0.9019278287887573,1.1060528755187988,1.4319539070129395,1.2290900945663452,1.111936092376709,1.7267996072769165,1.2016708850860596,1.5331265926361084,1.199519157409668,1.1542489528656006,0.8189165592193604,1.0723967552185059,1.0812582969665527,0.8716996908187866,1.301225185394287,1.4231696128845215,1.1331794261932373,1.9220647811889648,1.2842779159545898,1.7017862796783447,1.4063045978546143,1.4933316707611084,1.6007214784622192,1.725345253944397,1.8591759204864502,1.2481582164764404,1.0465266704559326,1.143805742263794,2.0018134117126465,0.9540064930915833,1.0527069568634033,1.2772116661071777,1.1798425912857056,1.8052334785461426,1.6057558059692383,1.16621732711792,0.9984090924263,0.9414321184158325,0.931114912033081,0.9119278192520142,0.9331550598144531,0.9676421880722046,1.020777702331543,1.0798900127410889,1.1895744800567627,1.199117660522461,1.2101099491119385,1.2450491189956665,1.2770702838897705,1.352097988128662,1.4058692455291748,1.3320186138153076,1.2173850536346436,1.1805071830749512,1.259804129600525,1.2449584007263184,1.2060213088989258,1.113065242767334,0.9985207319259644,0.9201425909996033,1.0492384433746338,1.2161314487457275,1.3777947425842285,1.3790961503982544,1.1369028091430664,0.9133899211883545,1.0400640964508057,1.1788071393966675,2.9920449256896973,0.8147070407867432,1.1908833980560303,1.1945302486419678,1.4453707933425903,1.6945085525512695,2.011443614959717,1.1157379150390625,0.9240739345550537,1.396442174911499,0.8986021280288696,1.5076158046722412,1.2987470626831055,1.1017136573791504,0.8678480386734009,0.8735305070877075,1.2127892971038818,1.469509482383728,0.9633527398109436,1.3254774808883667,1.613947868347168,1.40336012840271,0.8099088072776794,0.8723021149635315,0.9835481643676758,1.2701666355133057,1.0740227699279785,1.0674734115600586,0.7618853449821472,0.9250664710998535,0.8611831068992615,0.799477219581604,0.7348955273628235,1.5159013271331787,0.7880281209945679,1.3138813972473145,0.9334025382995605,0.8125751614570618,0.6810178160667419,0.7817363142967224,0.9211583137512207,0.7372205257415771,0.9351486563682556,2.2922661304473877,0.6844574809074402,1.1358140707015991,0.6956624388694763,0.6825380325317383,0.7819673418998718,0.9377627968788147,1.586855173110962,0.8160333633422852,0.9820807576179504,0.7449617385864258,0.7022231221199036,0.6856347322463989,0.7598651051521301,0.6673208475112915,1.3929985761642456,0.7454016208648682,0.9089832305908203,0.9166659712791443,0.5321193337440491,1.0119209289550781,0.7377848625183105,1.8019236326217651,0.7006832957267761,0.9519122838973999,0.7975655794143677,1.2430318593978882,0.9124690890312195,0.6502468585968018,2.818190574645996,0.5300642848014832,0.5955053567886353,0.6423677802085876,0.7161144018173218,0.6343106031417847,0.6045445203781128,1.9163413047790527,0.6264585256576538,1.456055998802185,0.44999581575393677,0.8343180418014526,0.8048614263534546,1.3136872053146362,0.7863249182701111,0.6191503405570984,0.6902714967727661,0.5693745613098145,2.4823217391967773,0.9733266830444336,0.5693016052246094,1.134368658065796,0.9002400636672974,0.5707629919052124,0.7012594938278198,0.7200766801834106,0.8470675349235535,0.8821145296096802,1.1793811321258545,1.0980629920959473,0.40330204367637634,1.3514760732650757,0.7581298351287842,0.9254827499389648,0.631008505821228,0.5156700015068054,0.6769932508468628,0.7324904203414917,0.8114285469055176,1.198199987411499,0.7245308756828308,1.022144079208374,0.6767216920852661]"
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),occlusion,0.6014813389765293,0.6337644012690054,0.5362318754196167,
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),random_mean,0.49663652686930876,0.5559651753796656,0.5479710030555726,
P49372,154,0.6428571428571429,99,MTL (05 frozen),residue_head,0.5188246097337007,0.6826518886733131,0.6363636255264282,
P49372,154,0.6428571428571429,99,MTL (05 frozen),attention_weights,0.2798898071625344,0.5114766501478756,0.5555555820465088,
P49372,154,0.6428571428571429,99,MTL (05 frozen),integrated_gradients,0.3711662075298439,0.5803733948486222,0.5656565427780151,"[29.439006805419922,8.16748046875,6.1758646965026855,9.33275318145752,5.748486042022705,8.616981506347656,4.198304176330566,4.289943218231201,3.2866873741149902,3.7801175117492676,4.543659687042236,8.356801986694336,8.429817199707031,4.290919780731201,6.463184356689453,2.575294256210327,4.008790016174316,4.579556465148926,4.888555526733398,6.915534496307373,4.852436065673828,8.156356811523438,4.126892566680908,3.613823413848877,4.225917816162109,8.365793228149414,2.889096736907959,8.080339431762695,5.726716995239258,3.235452175140381,4.262504577636719,3.332826614379883,2.4411027431488037,2.5626466274261475,2.478947162628174,4.927984714508057,4.320722579956055,2.418715000152588,6.668262481689453,3.0430917739868164,3.813617706298828,4.446480751037598,5.829716682434082,4.510214805603027,3.990159749984741,7.268317222595215,8.182085037231445,4.84654426574707,3.313675880432129,4.465963363647461,4.260273456573486,7.502433776855469,4.282846450805664,2.4461240768432617,3.764862060546875,3.5733065605163574,6.299059867858887,3.9288413524627686,4.671844482421875,6.022881031036377,4.187961101531982,3.847242593765259,4.993800163269043,4.132123947143555,5.080416202545166,5.286573886871338,3.482353448867798,5.664917469024658,3.0555872917175293,7.637105464935303,3.690431594848633,3.8169984817504883,3.7905898094177246,3.243471622467041,3.624516248703003,5.381569862365723,2.814998149871826,2.4953391551971436,3.326262950897217,5.558478355407715,3.07840633392334,3.826033115386963,4.388175010681152,2.9820802211761475,2.8827662467956543,2.362119197845459,3.1479597091674805,4.209996223449707,3.1815543174743652,2.878519058227539,3.0626726150512695,3.3286077976226807,3.555359363555908,2.4549667835235596,2.5627806186676025,3.070988893508911,3.3767502307891846,2.3842086791992188,2.9676990509033203,2.5728745460510254,4.098728179931641,2.773942232131958,2.6367290019989014,3.6505355834960938,3.1031036376953125,4.123879432678223,5.718466758728027,2.7242865562438965,5.419194221496582,5.34507942199707,4.153094291687012,4.643227577209473,3.965719223022461,5.072657585144043,3.88130521774292,4.4425811767578125,4.605486869812012,3.2630600929260254,4.055334568023682,2.3755316734313965,4.675868988037109,3.3932242393493652,4.279687881469727,3.5011370182037354,2.270918846130371,2.042327404022217,2.526994228363037,2.4102907180786133,3.19722318649292,2.6003236770629883,3.0734472274780273,2.5942673683166504,2.3852410316467285,4.547630786895752,4.626621723175049,2.448833465576172,2.863370180130005,4.445574760437012,5.587982654571533,2.674211025238037,3.18977952003479,2.573328733444214,2.607412338256836,3.88043212890625,3.057938575744629,2.2607626914978027,3.052522897720337,2.203808307647705,2.8838419914245605,4.160207748413086,3.255695343017578,2.7086596488952637,3.2333171367645264,5.832820892333984]"
P49372,154,0.6428571428571429,99,MTL (05 frozen),occlusion,0.4571166207529844,0.6414583824995742,0.6161616444587708,
P49372,154,0.6428571428571429,99,MTL (05 frozen),random_mean,0.5003673094582185,0.6530298359591309,0.6424242413043976,
