accession,seq_len,epitope_density,n_epitope_residues,model_family,method,auroc,auprc,precision_at_k,source_probe_rows_path
A0A834K244,251,0.549800796812749,138,Baseline (04),attention_weights,0.6302424009234321,0.6218137383278266,0.6231883764266968,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),integrated_gradients,0.474349108631525,0.5350559325830384,0.4927536249160766,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),random_mean,0.4966365268693087,0.5559651753796656,0.5479710030555726,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),attention_weights,0.2503213957759412,0.4994436985672064,0.5252525210380554,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),integrated_gradients,0.3658402203856749,0.5504792758720602,0.5656565427780151,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),random_mean,0.5003673094582185,0.6530298359591309,0.6424242413043976,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),attention_weights,0.3365355911965046,0.3602610891119765,0.2947976887226105,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),integrated_gradients,0.6418355993378383,0.6530493446676573,0.5664739608764648,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),random_mean,0.4988379603245678,0.4573539727996012,0.4485549148917198,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),attention_weights,0.4162768031189083,0.4100477010105535,0.3555555641651153,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),integrated_gradients,0.4799220272904483,0.419136676845056,0.4111111164093017,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),random_mean,0.5083625730994151,0.4634107235752547,0.4462222266197204,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),attention_weights,0.3384186351706036,0.0299132406162125,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),integrated_gradients,0.3379265091863517,0.0299690329803645,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),random_mean,0.4968487532808398,0.0507944833163181,0.033125,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),attention_weights,0.4890873015873016,0.0406301128915634,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),integrated_gradients,0.6793981481481481,0.0692328819912217,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),random_mean,0.4989839616402116,0.0556782570376508,0.0425,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),attention_weights,0.4293478260869565,0.0349887392188749,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),integrated_gradients,0.2856457800511509,0.0269401722191181,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),random_mean,0.4952006074168797,0.052688151939609,0.04125,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),attention_weights,0.6038961038961039,0.0558315250352243,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),integrated_gradients,0.4832792207792208,0.0378737494630988,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),random_mean,0.491612012987013,0.0533755094809315,0.03875,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9C5M8,408,0.0392156862745098,16,Baseline (04),attention_weights,0.5094068877551021,0.0397199083458685,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9C5M8,408,0.0392156862745098,16,Baseline (04),integrated_gradients,0.306281887755102,0.0283346822082397,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9C5M8,408,0.0392156862745098,16,Baseline (04),random_mean,0.5045822704081631,0.0526587166329498,0.04,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
