accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k
Q84ZX5,132,0.75,99,attention_weights,0.7171717171717171,0.88320031084433,0.808080792427063
A0ABI7XLA3,134,0.6865671641791045,92,attention_weights,0.5584886128364389,0.7311200436182886,0.717391312122345
A0ABQ9K8B4,208,0.5480769230769231,114,attention_weights,0.4734042553191489,0.5077756728284069,0.5438596606254578
Q28133,172,0.48255813953488375,83,attention_weights,0.4868011371328008,0.46027320841477726,0.46987950801849365
P27762,397,0.04030226700251889,16,attention_weights,0.3380905511811024,0.029860509419327615,0.0
P10496.1,465,0.03225806451612903,15,attention_weights,0.3423703703703704,0.024029614987311276,0.0
O65457,394,0.04060913705583756,16,attention_weights,0.5042989417989419,0.042539628347982236,0.0
A0A804JLZ5,407,0.03931203931203931,16,attention_weights,0.4306265984654732,0.03586231159248371,0.0
O24554,401,0.0399002493765586,16,attention_weights,0.6311688311688312,0.06101361941829604,0.0
Q9C5M8,408,0.0392156862745098,16,attention_weights,0.5336415816326531,0.04219888947969347,0.0
Q7M1E7,514,0.7490272373540856,385,attention_weights,0.3846572032618544,0.7340315223405893,0.6909090876579285
P43214,122,0.45081967213114754,55,attention_weights,0.5335142469470828,0.5343710102440209,0.4727272689342499
Q17ST3,339,0.3215339233038348,109,attention_weights,0.3611487834064619,0.2470682437630092,0.20183485746383667
Q9M4S2,367,0.20435967302452315,75,attention_weights,0.4340639269406393,0.18269563790825094,0.14666666090488434
Q6U740,146,0.273972602739726,40,attention_weights,0.33844339622641506,0.2076880350641779,0.10000000149011612
Q9SCG9,367,0.14986376021798364,55,attention_weights,0.5312354312354313,0.16799834057814728,0.145454540848732
P54958,352,0.21306818181818182,75,attention_weights,0.45058965102286397,0.21209175462381025,0.2133333384990692
P10414,73,0.2054794520547945,15,attention_weights,0.5229885057471265,0.2934919618957289,0.20000000298023224
A0ABI7XHC5,214,0.2102803738317757,45,attention_weights,0.494543063773833,0.2023992502519823,0.17777778208255768
A0PJ16,396,0.6893939393939394,273,attention_weights,0.34104648738795085,0.6069904192961768,0.6117216348648071
E1XUL4,397,0.6574307304785895,261,attention_weights,0.41939936894297947,0.6168608461378684,0.6130267977714539
P27760,398,0.2185929648241206,87,attention_weights,0.4748863510367003,0.21635666746979357,0.2068965584039688
K7AKA8,115,0.7130434782608696,82,attention_weights,0.4545454545454546,0.673860045743817,0.707317054271698
K7AJH7,73,0.547945205479452,40,attention_weights,0.4712121212121212,0.5724074656480328,0.5
K7B086,246,0.26422764227642276,65,attention_weights,0.5552061198470037,0.2857932956386293,0.2769230902194977
K6Z6I9,434,0.1382488479262673,60,attention_weights,0.40026737967914444,0.10812355865319286,0.01666666753590107
K6Z6Z9,261,0.2988505747126437,78,attention_weights,0.4503993274485078,0.28483423150631293,0.25641027092933655
K7B0C2,442,0.16063348416289594,71,attention_weights,0.4306973918985612,0.13341784722531863,0.07042253762483597
K6Z6L7,94,0.1595744680851064,15,attention_weights,0.6405063291139241,0.20858676509061852,0.13333334028720856
K6ZXT8,114,0.5526315789473685,63,attention_weights,0.5010893246187365,0.5758575111915687,0.5396825671195984
K6ZXQ5,87,0.1724137931034483,15,attention_weights,0.24722222222222226,0.11805180876971665,0.06666667014360428
K7AKJ8,134,0.22388059701492538,30,attention_weights,0.4009615384615385,0.19341784990643165,0.13333334028720856
K6ZXS1,201,0.29850746268656714,60,attention_weights,0.33664302600472806,0.24546986549965205,0.18333333730697632
K7AJI4,83,0.3614457831325301,30,attention_weights,0.5584905660377358,0.4095878054469923,0.36666667461395264
K7B082,133,0.22556390977443608,30,attention_weights,0.27993527508090615,0.15855338219666168,0.10000000149011612
K6ZY00,287,0.17770034843205576,51,attention_weights,0.4704220671319375,0.1802839882460537,0.1568627506494522
K7AF06,68,0.22058823529411764,15,attention_weights,0.3220125786163522,0.16740859998177016,0.06666667014360428
K7AEU6,76,0.19736842105263158,15,attention_weights,0.25136612021857924,0.13619311825288233,0.0
K6Z6L1,264,0.056818181818181816,15,attention_weights,0.43025435073627843,0.04977867965147539,0.0
K7AEU1,437,0.034324942791762014,15,attention_weights,0.33270142180094786,0.025819769607519957,0.0
K7AET4,180,0.08333333333333333,15,attention_weights,0.4036363636363637,0.06999801282209628,0.0
Q9SEW4,593,0.43676222596964587,259,attention_weights,0.5978313642984302,0.5188255922931415,0.5057914853096008
P28744,392,0.12244897959183673,48,attention_weights,0.5775193798449613,0.14643884016082814,0.125
A0A140KPR8,264,0.2840909090909091,75,attention_weights,0.567689594356261,0.3291716090380833,0.3866666555404663
Q09KA1,317,0.2113564668769716,67,attention_weights,0.43307462686567166,0.20634185943411404,0.1492537260055542
A0A6P6YEX8,502,0.2290836653386454,115,attention_weights,0.5649028199078755,0.2927373289313521,0.313043475151062
A0A6P6Y1G3,132,0.11363636363636363,15,attention_weights,0.4683760683760684,0.11650540794222027,0.13333334028720856
A0A6P6YDD5,536,0.11194029850746269,60,attention_weights,0.46680672268907564,0.13743544431250362,0.15000000596046448
A0A6P6YF71,188,0.2925531914893617,55,attention_weights,0.5228981544771019,0.3090585736100835,0.290909081697464
A5X5X4,155,0.1935483870967742,30,attention_weights,0.3837333333333333,0.156242020218993,0.10000000149011612
A0A6P6Y415,156,0.09615384615384616,15,attention_weights,0.47423167848699765,0.08994433250692277,0.0
P00755,261,0.24904214559386972,65,attention_weights,0.46153846153846156,0.2543676356238311,0.2461538463830948
Q402I5,439,0.03416856492027335,15,attention_weights,0.6737421383647799,0.09441250860913723,0.13333334028720856
P51437,172,0.08139534883720931,14,attention_weights,0.25,0.05508236500531445,0.0
O09043,419,0.057279236276849645,24,attention_weights,0.43670886075949367,0.054724903472057225,0.0
P03953,259,0.138996138996139,36,attention_weights,0.6626806178375685,0.22421032512577949,0.2222222238779068
A2AJD1,591,0.025380710659898477,15,attention_weights,0.7607638888888889,0.08178031186884488,0.06666667014360428
B1AVU4,173,0.26011560693641617,45,attention_weights,0.5604166666666667,0.3624976724282417,0.31111112236976624
P61110,121,0.2727272727272727,33,attention_weights,0.40771349862258954,0.22762057040278527,0.12121212482452393
Q91X17,642,0.05451713395638629,35,attention_weights,0.602682984231584,0.07264344816667095,0.05714285746216774
P23492,289,0.05190311418685121,15,attention_weights,0.4282238442822384,0.04757043779932439,0.0
