accession,seq_len,epitope_density,n_epitope_residues,model_family,method,label_variant,auroc,auprc,precision_at_k,source_probe_rows_path
A0A834K244,251,0.549800796812749,138,Baseline (04),attention_weights,original,0.6302424009234321,0.6218137383278266,0.6231883764266968,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),attention_weights,scrambled,0.4919199692189303,0.5474673890293777,0.54347825050354,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),integrated_gradients,original,0.474349108631525,0.5350559325830384,0.4927536249160766,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),integrated_gradients,scrambled,0.505130178273695,0.569623038977525,0.5507246255874634,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),gradient_x_input,original,0.4889059894831346,0.5391338448389282,0.54347825050354,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),gradient_x_input,scrambled,0.5728485314864692,0.643374018640099,0.6086956262588501,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),smoothgrad_ig,original,0.4762087982557393,0.534039159906167,0.5,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),smoothgrad_ig,scrambled,0.5359112479158651,0.5976386552949489,0.5579710006713867,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),occlusion,original,0.5679748621264589,0.5977058529969005,0.52173912525177,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),occlusion,scrambled,0.4923688598178787,0.5601240091863753,0.5507246255874634,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
