accession,seq_len,epitope_density,n_epitope_residues,model_family,method,auroc,auprc,precision_at_k
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),residue_head,0.5175708605874054,0.5535531169560008,0.5724637508392334
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),attention_weights,0.6314608182634346,0.6321020215653047,0.6304348111152649
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),integrated_gradients,0.3841862254713351,0.45452163448029925,0.4637681245803833
A0A834K244,251,0.549800796812749,138,MTL (05 frozen),random_mean,0.49663652686930876,0.5559651753796656,0.5479710030555726
P49372,154,0.6428571428571429,99,MTL (05 frozen),residue_head,0.5188246097337007,0.6826518886733131,0.6363636255264282
P49372,154,0.6428571428571429,99,MTL (05 frozen),attention_weights,0.2798898071625344,0.5114766501478756,0.5555555820465088
P49372,154,0.6428571428571429,99,MTL (05 frozen),integrated_gradients,0.3711662075298439,0.5803733948486222,0.5656565427780151
P49372,154,0.6428571428571429,99,MTL (05 frozen),random_mean,0.5003673094582185,0.6530298359591309,0.6424242413043976
P01012,386,0.4481865284974093,173,MTL (05 frozen),residue_head,0.6357838747320145,0.580230647561109,0.5549132823944092
P01012,386,0.4481865284974093,173,MTL (05 frozen),attention_weights,0.34641374257103313,0.36493767044049186,0.3179190754890442
P01012,386,0.4481865284974093,173,MTL (05 frozen),integrated_gradients,0.6504382751227984,0.67389391190258,0.5664739608764648
P01012,386,0.4481865284974093,173,MTL (05 frozen),random_mean,0.4988379603245678,0.45735397279960127,0.44855491489171984
A0ABQ9K8N2,204,0.4411764705882353,90,MTL (05 frozen),residue_head,0.7318713450292398,0.6379927169823598,0.6777777671813965
A0ABQ9K8N2,204,0.4411764705882353,90,MTL (05 frozen),attention_weights,0.40614035087719297,0.40338844338283636,0.3444444537162781
A0ABQ9K8N2,204,0.4411764705882353,90,MTL (05 frozen),integrated_gradients,0.4895711500974659,0.42341566692407423,0.42222222685813904
A0ABQ9K8N2,204,0.4411764705882353,90,MTL (05 frozen),random_mean,0.5083625730994151,0.46341072357525476,0.44622222661972044
P27762,397,0.04030226700251889,16,MTL (05 frozen),residue_head,0.8618766404199476,0.18318054321169322,0.1875
P27762,397,0.04030226700251889,16,MTL (05 frozen),attention_weights,0.33825459317585305,0.02977851321916714,0.0
P27762,397,0.04030226700251889,16,MTL (05 frozen),integrated_gradients,0.40862860892388453,0.033654996975424525,0.0
P27762,397,0.04030226700251889,16,MTL (05 frozen),random_mean,0.4968487532808398,0.05079448331631818,0.033125
O65457,394,0.04060913705583756,16,MTL (05 frozen),residue_head,0.7628968253968254,0.09356980868114959,0.125
O65457,394,0.04060913705583756,16,MTL (05 frozen),attention_weights,0.47585978835978837,0.03899767356040289,0.0
O65457,394,0.04060913705583756,16,MTL (05 frozen),integrated_gradients,0.7435515873015873,0.09991011288737384,0.125
O65457,394,0.04060913705583756,16,MTL (05 frozen),random_mean,0.49898396164021164,0.055678257037650836,0.0425
A0A804JLZ5,407,0.03931203931203931,16,MTL (05 frozen),residue_head,0.7910805626598465,0.09637214182755209,0.0625
A0A804JLZ5,407,0.03931203931203931,16,MTL (05 frozen),attention_weights,0.41831841432225064,0.03430705346126949,0.0
A0A804JLZ5,407,0.03931203931203931,16,MTL (05 frozen),integrated_gradients,0.3467071611253197,0.02997276792693253,0.0
A0A804JLZ5,407,0.03931203931203931,16,MTL (05 frozen),random_mean,0.49520060741687977,0.052688151939609046,0.04125
O24554,401,0.0399002493765586,16,MTL (05 frozen),residue_head,0.7387987012987012,0.08583871519928345,0.0625
O24554,401,0.0399002493765586,16,MTL (05 frozen),attention_weights,0.5988636363636364,0.05525740777802875,0.0
O24554,401,0.0399002493765586,16,MTL (05 frozen),integrated_gradients,0.37857142857142856,0.031582879904015204,0.0
O24554,401,0.0399002493765586,16,MTL (05 frozen),random_mean,0.491612012987013,0.05337550948093158,0.03875
Q9C5M8,408,0.0392156862745098,16,MTL (05 frozen),residue_head,0.7452168367346939,0.0774641559461034,0.0625
Q9C5M8,408,0.0392156862745098,16,MTL (05 frozen),attention_weights,0.498405612244898,0.03875021549214784,0.0
Q9C5M8,408,0.0392156862745098,16,MTL (05 frozen),integrated_gradients,0.3560267857142857,0.030924696099291635,0.0
Q9C5M8,408,0.0392156862745098,16,MTL (05 frozen),random_mean,0.5045822704081631,0.05265871663294988,0.04
O04404,176,0.10795454545454546,19,MTL (05 frozen),residue_head,0.837412001340932,0.26476630794145095,0.21052631735801697
O04404,176,0.10795454545454546,19,MTL (05 frozen),attention_weights,0.23466309084813947,0.07044275122951221,0.0
O04404,176,0.10795454545454546,19,MTL (05 frozen),integrated_gradients,0.2896413007039893,0.07465643218367475,0.0
O04404,176,0.10795454545454546,19,MTL (05 frozen),random_mean,0.49149849145155877,0.12950341463653867,0.10947368375957012
Q09072,222,0.12162162162162163,27,MTL (05 frozen),residue_head,0.1527065527065527,0.07331254028742325,0.0
Q09072,222,0.12162162162162163,27,MTL (05 frozen),attention_weights,0.5905033238366572,0.15022160171769247,0.07407407462596893
Q09072,222,0.12162162162162163,27,MTL (05 frozen),integrated_gradients,0.6957264957264958,0.22343200019616516,0.25925925374031067
Q09072,222,0.12162162162162163,27,MTL (05 frozen),random_mean,0.49542640075973415,0.13763383197667886,0.1185185182094574
