sequence_id,ig_delta_p,mean_random_delta_p,delta_difference,p_base
A0A834K244,0.0358322262763977,0.0035718274116516113,0.03226039886474609,0.9935292601585388
P49372,0.1244345903396606,0.027351633310317994,0.09708295702934261,0.997612714767456
A0ABQ9K8N2,0.3281198740005493,0.07280675426125527,0.25531311973929405,0.7354546785354614
P27762,0.1081669330596923,-0.0015252166986464344,0.10969214975833873,0.9539468288421632
O65457,0.0279601216316223,0.0002875727415085949,0.027672548890113707,0.990502953529358
A0A804JLZ5,0.1078224182128906,0.03268301308155071,0.07513940513133989,0.936548948287964
O24554,0.2635937929153442,0.03441818237304688,0.2291756105422973,0.960562527179718
O04404,0.0681524276733398,0.12001560017466545,-0.05186317250132565,0.9753229022026062
Q09072,6.222724914550781e-05,-3.9865970611461245e-05,0.00010209321975696906,0.9999459981918336
Q9XG86,0.00041264295578,-2.547025680541992e-05,0.00043811321258541993,0.999671459197998
Q71SP0,0.0106057524681091,0.027584037780761825,-0.016978285312652726,0.972512185573578
2EJN_A,0.0987622737884521,0.14532325379550456,-0.04656098000705246,0.8175401091575623
Q9M4S2,0.3235876560211181,0.007162755727767945,0.3164249002933502,0.9959444403648376
Q9SCG9,0.0528604984283447,0.005287464857101441,0.04757303357124326,0.9953036308288574
P43187,0.7117603607475758,0.14393363536335527,0.5678267253842205,0.7478086352348328
P40108,0.5632850229740143,0.47006226155906916,0.09322276141494512,0.8156823515892029
A0PJ16,0.0083165168762207,0.0005701398849487305,0.007746376991271969,0.9987356066703796
E1XUL4,0.2053080201148986,0.011170547604560852,0.19413747251033775,0.9593190550804138
P27760,0.0723610520362854,0.01093028426170349,0.06143076777458191,0.957527220249176
P00711,0.8020525649189949,0.09224776923656464,0.7098047956824303,0.8889617919921875
K7AES0,0.9341252334415912,0.10631421327590936,0.8278110201656818,0.9961418509483336
K6Z7P7,0.4221770763397217,0.07931216657161723,0.34286490976810446,0.953040897846222
K6ZY35,0.6994940340518951,0.12026493858546018,0.579229095466435,0.9722899794578552
K7AFF4,0.7579704970121384,0.12823701262474052,0.6297334843873978,0.9586924910545348
K7B0J2,0.0572272539138793,0.09838045418262473,-0.04115320026874543,0.9170249104499816
K7AFB3,0.5073990821838379,0.05515739794354886,0.45224168424028904,0.7530514001846313
K6Z6W8,0.0787907838821411,-0.0837211848795414,0.1625119687616825,0.7472089529037476
K7B0S9,0.312696635723114,0.04471678912639618,0.2679798465967178,0.9819782376289368
K6ZY75,0.7233652994036674,0.02773944824934006,0.6956258511543274,0.8213664293289185
K6Z6R1,0.0538926124572753,0.021892582178115738,0.03200003027915956,0.963851511478424
K7AEU1,0.0048847794532775,0.00843010187149048,-0.003545322418212979,0.9721346497535706
K7AET4,0.3553876280784607,0.08219794988632202,0.2731896781921387,0.8164976835250854
Q2KN26,0.003581166267395,0.004305543899536021,-0.0007243776321410214,0.99838387966156
P28744,0.0416767597198486,0.0066054433584213255,0.035071316361427275,0.9538260102272034
A0A140KPR6,0.0827295184135437,-2.0610094070323546e-05,0.08275012850761403,0.9876943826675416
A1KXH6,0.0868616104125976,0.014893730282783508,0.07196788012981409,0.9980745315551758
A0A6P6Y1G3,0.0415217280387878,0.10675417384132743,-0.06523244580253963,0.8490536212921143
A5X5X4,-0.0042381882667541,0.04724901884794235,-0.051487207114696454,0.9643603563308716
A0A6P6YJM8,0.5805793106555939,0.4656797998026013,0.11489951085299255,0.8944730758666992
Q8RYC0,0.1668509840965271,0.02224483549594879,0.1446061486005783,0.937501847743988
P01887,-0.060211956501007,0.06718785747885704,-0.12739981397986405,0.897430419921875
P82615,0.5715786218643188,0.10397165477275848,0.46760696709156035,0.8934625387191772
P51437,0.333707332611084,0.07355211049318305,0.26015522211790093,0.9236700534820556
P01837,0.6186471879482269,0.056202024817466736,0.5624451631307602,0.9476677179336548
A8DUK4,0.0470834970474243,0.0487173119187354,-0.001633814871311097,0.9320948123931884
A2BHR0,0.0351581573486328,0.14151107974350452,-0.10635292239487172,0.962827205657959
A2BHD2,-0.0089110732078552,0.027268865704536332,-0.03617993891239153,0.9578990340232848
