accession,auroc
Q40963,0.755408653846154
Q9XF24,0.820730527334301
Q40962,0.6693094503988647
P22286,0.72871259175607
O81342,0.7033898305084745
F2SLX7,0.4954545454545454
I1KMV0,0.7
P49372,0.5767676767676768
P67875,0.5597696305660909
P01012,0.519607044967299
P02769,0.4871574384787472
A0ABQ9K8N2,0.564327485380117
A1YW11,0.5847682119205297
P80384,0.6392682926829267
A1YW14,0.4400386847195358
A1YW12,0.5630306386120341
A7XXV2,0.4055057222394061
P49278,0.6113547758284601
P00304,0.544949494949495
O65318,0.5191682910981157
P79017,0.6248146317350469
Q96368,0.5993107769423559
A0A1Y3ATX9,0.5241584073820915
A0A140T897,0.5686191284663271
A0AAX3SWD2,0.6212670648464164
O04404,0.7410325175997319
Q96370,0.4090909090909091
O24248,0.5793103448275863
P43179,0.4622894032435837
Q23939,0.5147058823529411
P16311,0.2713489020564656
A1YW13,0.5510630881840363
B5TYU1,0.619256605463502
Q09072,0.35128205128205126
P43238,0.6393033866718077
E5G077,0.6303661424494506
A1KYZ2,0.5221238938053097
O81341,0.706930693069307
Q40967,0.5404761904761906
Q40960,0.6701766304347826
Q9XG86,0.5406543309198176
Q9AT26,0.6386473429951691
Q2I6V7,0.563265306122449
Q5ZQK5,0.5383573537072409
Q8L5D8,0.5711886304909561
Q8H6L7,0.36354166666666665
B7U5T2,0.5565934065934066
A0A834NL11,0.44758878504672905
P11589,0.5421329070564056
Q71SP0,0.3966666666666666
P56164,0.7499245852187028
Q40240,0.7078032230703986
P42040,0.5488045007032349
P42039,0.6046703296703296
P49274,0.5362378976486861
A0A177DS24,0.60062893081761
P49276,0.4931890613755525
B6RQS2,0.5381642512077295
P54962,0.6252684323550466
Q9FPR0,0.6906421105027378
P0C0Y5,0.5773732718894009
A0A177D2L6,0.56496003996004
Q40237,0.6670056100981767
Q1A7B1,0.6057692307692308
2EJN_A,0.5667832167832167
A4K9Z8,0.4755102040816326
P14947,0.45806451612903226
A9XFX0,0.5380808809071246
Q1A7B2,0.4902203856749311
Q1A7B3,0.5796798029556651
O64943,0.5513888888888889
A0A177DSB2,0.563700351935646
Q9ZP03,0.5469842657342657
P39675,0.611107802263252
P14004,0.7143929912390488
Q1M2P5,0.5666666666666667
C1KEU0,0.5637733142037302
O96523,0.5146754353915479
A0A177DTG8,0.5647492625368732
